Catchment,Domain,Indicator,Unit,Sheep + Beef  (SEPP),Sheep + Beef  (Non-SEPP),Dairy (SEPP),Dairy (Non-SEPP),Dairy support/high intensity beef or dairy grazing (SEPP),Dairy support/high intensity beef or dairy grazing (Non-SEPP),Deer (SEPP),Deer (Non-SEPP),Arable/vegetables,Kiwifruit,Other horticulture,Forestry - Exotic,Forestry - Indigenous pre-1990,Forestry - Indigenous post-1989,Parks and Recreation,Wetlands,Urban/road/rail,Lifestyle block or mixed land use (SEPP),Lifestyle block or mixed land use (Non-SEPP),Hydro,Other,Scrub,Custom Land Use A,Custom Land Use B,Custom Land Use C
Rotorua Te Arawa Lakes,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotorua Te Arawa Lakes,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,Value-added - Direct & indirect impacts,$/ha/year,614.0,872.0,3302.0,7862.0,575.0,1368.0,293.0,697.0,5110.0,115919.0,30044.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,745.0,1057.0,4106.0,9777.0,715.0,1701.0,367.0,874.0,6194.0,147212.0,38155.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0035,0.0084,0.0264,0.3529,0.0915,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,Employment - Direct & indirect impacts,MEC/ha,0.005,0.0071,0.0207,0.0492,0.0036,0.0086,0.0046,0.011,0.0418,0.8425,0.2184,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0059,0.0084,0.0261,0.0621,0.0045,0.0108,0.0051,0.0122,0.0492,1.0563,0.2738,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,Land value,$/ha,16314.0,16314.0,52524.0,52524.0,16314.0,16314.0,48966.0,48966.0,124485.0,254093.0,219906.0,5343.0,1347.0,1347.0,13852.0,0.0,6069916.0,427709.0,427709.0,0.0,111219.0,0.0,0.0,0.0,0.0
Waihī Estuary,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,176.022,422.45279999999997,983.928,13517.4816,3504.816,31.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Environmental,N loss,kg/ha/year,24.0,24.0,61.0,61.0,28.0,28.0,25.0,25.0,58.0,25.0,27.0,4.1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Environmental,P loss,kg/ha/year,2.7,2.7,3.4,3.4,2.0,2.0,1.2,1.2,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waihī Estuary,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Waihī Estuary,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,8.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Waihī Estuary,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waihī Estuary,Environmental,Estuarine health,Scoring,4.0,6.0,2.0,4.0,2.0,4.0,4.0,6.0,2.0,6.0,8.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waihī Estuary,Environmental,Groundwater quality,Scoring,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Waihī Estuary,Environmental,Pressure on water quantity,Scoring,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Waihī Estuary,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Waihī Estuary,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Waihī Estuary,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Waihī Estuary,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waihī Estuary,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,Value-added - Direct & indirect impacts,$/ha/year,668.0,948.0,3205.0,7632.0,558.0,1328.0,307.0,731.0,5557.0,110169.0,28554.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,793.0,1125.0,3883.0,9245.0,676.0,1609.0,378.0,899.0,6595.0,136018.0,35254.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,Employment - Direct impact,MEC/ha,0.0033,0.0046,0.0118,0.0281,0.0021,0.0049,0.0038,0.009,0.0271,0.3004,0.0778,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0055,0.0078,0.0199,0.0473,0.0035,0.0082,0.005,0.0118,0.0459,0.7115,0.1844,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0059,0.0084,0.0218,0.0519,0.0038,0.009,0.0052,0.0125,0.0492,0.7859,0.2037,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,Land value,$/ha,11052.0,11052.0,25987.0,25987.0,11052.0,11052.0,33485.0,33485.0,124485.0,115422.0,109935.0,1465.0,1732.0,1732.0,35129.0,0.0,2589396.0,187556.0,187556.0,0.0,183883.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Economic,Income,$/ha,164.2377,228.9374,692.8016,1649.8072,102.8412,239.9628,191.1096,452.628,1010.0169999999999,11506.5216,2980.0512,39.542500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,N loss,kg/ha/year,25.0,25.0,54.0,54.0,28.0,28.0,25.0,25.0,59.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,P loss,kg/ha/year,2.7,2.7,1.4,1.4,2.0,2.0,1.2,1.2,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,8.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,Freshwater invertebrates,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,Estuarine health,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,Groundwater quality,Scoring,6.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,Pressure on water quantity,Scoring,10.0,10.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Waioeka-Otara,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Waioeka-Otara,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waioeka-Otara,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,Value-added - Direct & indirect impacts,$/ha/year,668.0,948.0,3205.0,7632.0,558.0,1328.0,307.0,731.0,5557.0,110169.0,28554.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,793.0,1125.0,3883.0,9245.0,676.0,1609.0,378.0,899.0,6595.0,136018.0,35254.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,Employment - Direct impact,MEC/ha,0.0033,0.0046,0.0118,0.0281,0.0021,0.0049,0.0038,0.009,0.0271,0.3004,0.0778,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0055,0.0078,0.0199,0.0473,0.0035,0.0082,0.005,0.0118,0.0459,0.7115,0.1844,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0059,0.0084,0.0218,0.0519,0.0038,0.009,0.0052,0.0125,0.0492,0.7859,0.2037,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,Land value,$/ha,12190.0,12190.0,22032.0,22032.0,12190.0,12190.0,19533.0,19533.0,124485.0,128318.0,83333.0,2235.0,1347.0,1347.0,766117.0,0.0,9057971.0,323009.0,323009.0,0.0,30858.0,0.0,0.0,0.0,0.0
Waiōtahe,Economic,Income,$/ha,164.2377,228.9374,692.8016,1649.8072,102.8412,239.9628,191.1096,452.628,1010.0169999999999,11506.5216,2980.0512,39.542500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Environmental,N loss,kg/ha/year,19.0,19.0,38.0,38.0,28.0,28.0,25.0,25.0,59.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Environmental,P loss,kg/ha/year,2.7,2.7,2.9,2.9,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waiōtahe,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Waiōtahe,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,8.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Waiōtahe,Environmental,Freshwater invertebrates,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waiōtahe,Environmental,Estuarine health,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waiōtahe,Environmental,Groundwater quality,Scoring,6.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Waiōtahe,Environmental,Pressure on water quantity,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Waiōtahe,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Waiōtahe,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Waiōtahe,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Waiōtahe,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Social,Housing affordability,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Social,Life satisfaction (current),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Social,Life satisfaction (future),Scoring,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Waiōtahe,Social,Sense of belonging,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,10.0,6.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,Value-added - Direct & indirect impacts,$/ha/year,696.0,988.0,3360.0,8001.0,585.0,1392.0,326.0,777.0,5792.0,120438.0,31216.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,910.0,1291.0,4550.0,10833.0,792.0,1885.0,444.0,1056.0,7566.0,166639.0,43190.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,Employment - Direct impact,MEC/ha,0.0032,0.0045,0.0118,0.0281,0.0021,0.0049,0.0029,0.0069,0.0262,0.5211,0.1351,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0056,0.008,0.021,0.05,0.0037,0.0087,0.0043,0.0102,0.047,1.0313,0.2673,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0069,0.0098,0.0278,0.0662,0.0048,0.0115,0.005,0.0118,0.0572,1.2935,0.3353,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,Land value,$/ha,18868.0,18868.0,24539.0,24539.0,18868.0,18868.0,30391.0,30391.0,124485.0,91592.0,202940.0,13499.0,1347.0,1347.0,17617.0,0.0,1982821.0,215383.0,215383.0,0.0,29319.0,0.0,0.0,0.0,0.0
Waitahanui,Economic,Income,$/ha,159.26080000000002,223.9605,692.8016,1649.8072,102.8412,239.9628,145.8468,347.0148,976.474,19960.2144,5174.8704,47.45099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Environmental,N loss,kg/ha/year,24.0,24.0,61.0,61.0,28.0,28.0,25.0,25.0,58.0,25.0,27.0,4.1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Environmental,P loss,kg/ha/year,2.7,2.7,3.4,3.4,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Environmental,Sediment loss,Scoring,3.0,5.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,7.0,8.0,8.0,9.0,10.0,8.0,10.0,4.0,4.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waitahanui,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
Waitahanui,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,10.0,10.0,10.0,8.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
Waitahanui,Environmental,Freshwater invertebrates,Scoring,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
Waitahanui,Environmental,Estuarine health,Scoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Environmental,Groundwater quality,Scoring,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,8.0,10.0,10.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
Waitahanui,Environmental,Pressure on water quantity,Scoring,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
Waitahanui,Environmental,Soil quality,Scoring,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,9.0,10.0,10.0,3.0,10.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0
Waitahanui,Environmental,Biodiversity,Scoring,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,7.0,10.0,10.0,2.0,10.0,1.0,5.0,5.0,10.0,0.0,8.0,0.0,0.0,0.0
Waitahanui,Environmental,GHG emissions,tCO2-e/ha/year,1.25375,2.5075,4.099,8.198,2.7030000000000003,5.406000000000001,4.75,9.5,3.1,1.25,0.526,-36.565,0.0,-7.973,0.0,-1.7,113.0,0.626875,1.25375,0.0,0.0,-3.9865,0.0,0.0,0.0
Waitahanui,Social,Connection to nature,Scoring,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Waitahanui,Social,Access to basic amenities,Scoring,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,8.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
